period,Regulatorycapitaltoriskweigh,Tier1capitaltoriskweighted,CapitalandReservesTotalDepos,Bankleverage,LoansDeposit,LiquidAssetstoShortTermLiab,Totalvalueofmortgageloans,SAIBOR3m,Inflation,Unemployment,GDPgrowth,oil_price_growth,Stock_Market_growth,GovernmentSpendingYoY,M2GrowthQoQ,ReserveAssets,TotalBankassets,NetNPLratio,ROA,ROE,Liquidassetstototalassets,InterestMargintogrossincome,Retailrealestateloansproport,RetailRealestateloanproporti,RealEstatePrices,RealEstatePricesgrowth,Liquidassetstoshorttermliab,BANKCLAIMSONPRIVATESECTORr,Non_Oil_Trade_Balance,time,l_Totalvalueofmortgageloans,rc_rwa,tier1_rwa,cap_res_dep,bnk_lvrg,loan_dep,liq_ast_liab,l_tot_mort_loans,tot_mort_loans,l_SAIBOR3m,dl_SAIBOR3m,unemp,l_ReserveAssets,dl_ReserveAssets,l_TotalBankassets,dl_TotalBankassets,d_NPL,d_ROA,d_ROE,liq_ast_ttl_ast,int_mar_gross,rtl_rlest1,rtl_rlest2,l_RealEstatePrices,dl_rlest_p,liq_ast_shr_lib,bnk_clm_prvt_sec,d_xoil_tb,policy,policy_mortgage_interaction
Q3 2016,18.8692198211565,16.806664018055,18.60771124248063,6.923804725710052,84.25,28.9,109482,2.28060122886473,1.903382641977869,5.7265524,2.043603452255027,.5774284495168924,-13.48547973193351,-21.96418434279462,.1029857043475886,2078208.19737799,2278910.292941446,1.09002877417813,1.95951028757864,13.7873003650273,18.3887761653993,69.34621245663671,55.4098,7.561385027421072,90.67,-2.45,28.8811984402946,-.2868602066682491,-100631.01312156,2016q3,11.603516,.55045086,.40947667,-.32103786,-.074220091,-.20999999,-.2,11.603516,-.010037422,.82443911,.095509946,.081431299,14.547017,-.028658867,14.639208,-.016999245,.090050265,-.11033107,-.92263263,.017624108,1.610454,-4.1342802,.061899025,4.5072265,-.024727821,-.1906058,-1.8352894,33127.379,0,0
Q4 2016,19.5447205862525,17.4693040479515,18.31320000586217,6.756401276386486,80.68000000000001,31.8,110484,2.19546753246753,.969072164948459,5.6,2.814541030970034,7.755195220347666,28.22326233163921,40.29400895763104,2.850040781843589,2009239.34398381,2289001.075391641,.992332956691431,1.81317302183408,12.6280832007209,20.2744035663867,70.0763907523461,55.13119,7.791976478420199,87.48,-3.52,31.809750929088,-2.071210347480745,-129324.18510033,2016q4,11.612626,.67550075,.66264004,-.29451123,-.16740344,-3.5699999,2.9000001,11.612626,-.00065612793,.78639501,-.038044095,-.1265524,14.513267,-.033750534,14.643626,.0061893463,-.09769582,-.14633727,-1.1592171,1.8856274,.7301783,2.27301,.13562638,4.4714103,-.035816193,2.9285524,-1.7843502,-28693.172,0,0
Q1 2017,18.8705976228731,16.8904068237425,20.48152837371532,6.697563934279324,81.5,30.9,111602,1.88652328722003,-.7408159123198699,5.7696454,-.0867106576248062,7.671168014140073,-2.895805104549942,-2.500930405656865,-.213344063229556,1907464.49734311,2301187.653929945,1.00957207158924,2.04322133624109,13.6560810646762,19.4490510734305,70.4094630365703,54.53151,7.818700287716167,85.45,-2.31,30.8777221220846,.6666590810947115,-119042.671798074,2017q1,11.622694,-.67412299,-.57889724,2.1683283,-.058837343,.81999999,-.89999998,11.622694,.00095748901,.63473558,-.15165943,.1696454,14.461286,-.051980972,14.648936,.00089168549,.017239114,.23004831,1.0279979,-.82535249,.33307227,-.32106999,-.20386764,4.4479313,-.023478985,-.93202883,2.7378695,10281.514,0,0
Q2 2017,19.1711499732566,17.1507769257993,19.63723151329696,6.725189738500749,80.88,30.6,115021,1.74101666666667,-.5479452054794387,6.0267639,-.1725903398209709,-6.534623150006347,6.057018151487581,-1.347416981954741,.8402693339916851,1882265.46543316,2327644.700522098,.52073407894577,2.01370407737628,13.4366103839969,19.4149170547055,72.2907338697707,54.28745000000001,8.040977551290615,84.94,-.6,30.6008920523347,.2145723577134717,-140009.30880113,2017q2,11.65287,.30055234,.26037011,-.84429687,.027625805,-.62,-.30000001,11.65287,.020108223,.55446923,-.080266356,.25711849,14.447987,-.013298988,14.660367,.0061206818,-.48883799,-.029517259,-.21947068,-.034134019,1.8812709,.35562,.19555345,4.4419451,-.0059862137,-.27683008,-.45208672,-20966.637,0,0
Q3 2017,19.440266339083,17.3851166758141,19.58038003934698,6.618170826958902,82.45999999999999,30.8,117171.156,1.79461602633478,-.7816465333468803,5.8098354,.4250649125437889,4.700773059327168,-1.921833842374876,5.291901344351468,-1.535716140558435,1819580.77999948,2315840.447689601,1.28494298677239,2.00628645583298,13.3042010233022,19.4277055425025,72.84834857096889,54.8461,8.21154931981895,84.92,-.02,30.8389218172601,-.2466890147884926,-107448.4773892494,2017q3,11.671391,.26911637,.23433974,-.056851473,-.10701891,1.58,.2,11.671391,-.011654854,.58479106,.030321836,-.2169285,14.414117,-.033869743,14.655283,-.016514778,.76420891,-.0074176216,-.13240936,.012788488,.55761468,.80271,-.051705495,4.4417095,-.00023555756,.23802976,-.46126136,32560.832,0,0
Q4 2017,20.3966974990304,18.3466006859991,19.41476655905561,6.513520740569095,80.11,34.6,121248.785,1.82451746031746,-1.112926281396776,5.9537242,-.4305335716931609,17.6211146292967,-.7783869581395653,37.17564029944429,.0830167376961555,1861587.65872511,2350890.809453733,1.72351457335718,1.95034483313016,12.8638995416976,21.6088034804504,73.3965061389776,57.46596,8.628514799138818,84.65000000000001,-.33,34.5841119141961,-1.520521968353605,-131441.344709832,2017q4,11.7056,.95643115,.96148401,-.16561349,-.10465009,-2.3499999,3.8,11.7056,.015686989,.60131556,.016524494,.1438888,14.43694,.022823334,14.670305,.020106316,.43857157,-.055941623,-.44030148,2.181098,.54815757,2.0612099,.24639371,4.4385252,-.0031843185,3.7451901,-1.2738329,-23992.867,0,0
Q1 2018,20.4179643542009,18.3938705909921,21.01697350154968,6.540837281693354,80.63,31.9,124723.618,1.9542,2.872916879664666,6.0957571,1.619754606478452,7.35637242132765,8.919477687121535,17.79642603369604,.130577141631889,1850193.92926317,2299005.256244868,.177221662681349,2.17582056584211,13.9877411023629,20.6029269375655,73.63097505037631,57.52368,8.800025329920306,84.16,-.58,31.9105303461928,.8610374986721014,-118928.5554636495,2018q1,11.733855,.021266855,.047269907,1.6022069,.02731654,.51999998,-2.7,11.733855,-.0059528351,.66998088,.068665326,.14203291,14.430801,-.0061388016,14.647987,-.037340164,-1.5462929,.22547573,1.1238415,-1.0058765,.23446891,-2.56214,-.24545495,4.4327197,-.0058054924,-2.6735816,2.3815594,12512.789,1,-.0059528351
Q2 2018,20.8925550343246,18.8786922745169,20.44909967672304,6.578435626392162,78.12,33.1,128277.599,2.41453333333333,2.326293235384136,5.9869978,1.990136858467295,12.9243164236569,5.632414205799363,33.51677335652472,.3931554285993712,1899819.8764377,2345814.8151295,.414741916144423,2.13864936611233,13.7946909829124,21.0568337767175,74.3545234544346,59.50198,8.927640686814014,83.59999999999999,-.66,33.1025669203396,1.379312455233106,-116700.4339815729,2018q2,11.761952,.47459069,.48482168,-.56787384,.037598345,-2.51,1.2,11.761952,-.00015830994,.88150603,.21152514,-.1087593,14.45727,.026468277,14.668143,.042473793,.23752025,-.0371712,-.19305012,.45390683,.72354841,1.92058,-.043895174,4.4260435,-.0066761971,1.1920366,.51827496,2228.1216,1,-.00015830994
Q3 2018,20.0609121003601,18.0694588245701,19.19511917828761,6.693585061221357,78.06999999999999,33.5,132059.654,2.6192,2.097401268671995,5.9931485,2.677337101447065,1.16788070646463,-3.784493739017281,20.78849478702782,-.1632895024746688,1902030.75857383,2375033.03603092,.7491929365962779,2.14111025668081,13.9029816889161,21.329833189673,74.931160667835,58.08654,9.092316650097871,82.31,-1.55,33.5046533900134,1.083782170064462,-105755.0084510467,2018q3,11.791009,-.83164293,-.80923343,-1.2539805,.11514944,-.050000001,.40000001,11.791009,.00095939636,.96286893,.081362903,.0061507002,14.458433,.0011634827,14.680522,-.0077772141,.33445102,.0024608907,.10829071,.27299941,.57663721,-3.3937399,.037060607,4.4104924,-.01555109,.40208647,-.29553029,10945.426,1,.00095939636
Q4 2018,20.2911668117437,18.4905134697096,18.13183540936665,6.820922446163767,77.39,35.5,140276.139,2.81599551414769,1.910170366546216,6.042056,4.694106485964198,-8.840377620974337,-2.160249214329824,2.499394934930721,1.791879132150285,1862208.96532701,2398146.505898611,1.06756348918846,2.10492143262782,13.7647923571326,22.344193285197,75.6511840670853,58.80512,9.705998469626028,80.44,-2.27,35.4913712279556,-.4942947197783765,-134039.4612881232,2018q4,11.851368,.23025471,.42105463,-1.0632838,.12733738,-.68000001,2,11.851368,.031302452,1.0353159,.072446942,.0489075,14.437274,-.021159172,14.690207,-.0026941299,.31837055,-.036188822,-.13818933,1.0143601,.72002339,2.1340201,.44900584,4.3875117,-.02298069,1.9867178,-1.5780768,-28284.453,1,.031302452
